"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Alicia Davenport","Espresso","1","£1.95","Epsom","Card","36461265167884","11/07/2025"
"John Hill","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Cash","","15/07/2025"
"Jonathan Hughes","Latte","3","£6.45","Chesterfield","Card","4079759754805702","24/06/2025"
"Mrs. Lisa Mendez","Cappuccino","3","£7.05","Brighton","Card","4356787695718092","25/06/2025"
"Benjamin Cox","Cappuccino","1","£2.35","York","Cash","","20/07/2025"
"Laura Rhodes","Cappuccino","2","£4.7","York","Cash","","03/07/2025"
"Alexander Oneill","Flavoured Iced Latte - Hazelnut","2","£5.5","Brighton","Card","3525439680783768","15/07/2025"
"Joshua Thomas","Latte","1","£2.15","Durham","Card","6011808399922707","19/07/2025"
"Stephen Berg","Mocha","3","","Epsom","Card","501848671803","04/07/2025"
"Julia Olson","Cappuccino","1","£2.35","Durham","Cash","","05/07/2025"
"Kevin Hardy MD","Large Latte","1","£2.45","Durham","Card","6011553683753349","05/07/2025"
"Jonathan Huang","Flavoured Iced Latte - Caramel","1","£2.75","York","Card","377635091504256","03/07/2025"
"Austin Mcdonald","Espresso","3","£5.85","Brighton","Cash","","13/07/2025"
"Paul Welch","Flavoured Iced Latte - Caramel","2","£5.5","Durham","Card","4859591424358","21/06/2025"
"Brianna Villegas","Cappuccino","3","£7.05","Chesterfield","Card","2305211033383952","02/07/2025"
"Patrick King","Latte","1","£2.15","York","Cash","",""
"Margaret Mills","","1","£2.45","Chesterfield","Cash","","18/07/2025"
"Charles French","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Card","213198428937598","18/07/2025"
"Paul Arroyo","Cappuccino","1","£2.35","Durham","Cash","","29/06/2025"
"Derek White","Flavoured Iced Latte - Caramel","1","£2.75","Brighton","Card","180079185812282","25/06/2025"
"Kelsey Cain","Large Latte","3","£7.35","Brighton","Cash","","06/07/2025"
"Steven Chavez DDS","Cappuccino","1","£2.35","Brighton","Cash","","10/07/2025"
"Monica Davis","Mocha","2","£5.5","York","Card","213129587266818","27/06/2025"
"Eric Dunn","Large Latte","1","£2.45","Chesterfield","Cash","","22/06/2025"
"Natalie Smith","Mocha","3","£8.25","York","Card","6576089456188774","24/06/2025"
"Laura Mitchell","Mocha","3","£8.25","Chesterfield","Card","4887418288208451","28/06/2025"
"Brian Owens","","2","£4.3","Durham","Card","5564271200504763","17/07/2025"
"Raven Daniel","Flavoured Iced Latte - Caramel","1","£2.75","York","Cash","","15/07/2025"
"Kenneth Robinson","Latte","3","£6.45","Durham","Card","","25/06/2025"
"Cindy Todd","Cappuccino","1","£2.35","Brighton","Card","213120157013904","14/07/2025"
"Ellen Ferguson","Flavoured Iced Latte - Hazelnut","2","£5.5","Durham","Cash","","17/07/2025"
"Ryan Herman","Latte","","£2.15","Brighton","Cash","","06/07/2025"
"Destiny Mathis","Flavoured Iced Latte - Caramel","1","£2.75","Durham","Card","4230940313834727207","29/06/2025"
"Rodney Hayes","Latte","3","£6.45","York","Card","2677356949374403","28/06/2025"
"Joshua Rodriguez DDS","Flavoured Iced Latte - Hazelnut","3","£8.25","York","Cash","","17/07/2025"
"Susan Greer","Mocha","3","£8.25","York","Cash","","02/07/2025"
"Taylor Peterson","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Card","4929335082256850","06/07/2025"
"Timothy Fowler","Latte","3","£6.45","Durham","Card","3510156542089518","29/06/2025"
"Rita Davis","Espresso","2","£3.9","Epsom","Card","Discover | Karen Hubbard | 6564531713872710 04/27 | CVC: 967 | ","15/07/2025"
"Mr. Jose Jones","Espresso","2","£3.9","York","Card","3528644361912910","13/07/2025"
"Dr. Kimberly Davis","Flavoured Iced Latte - Caramel","2","£5.5","Brighton","Cash","","07/07/2025"
"Nicole Thomas","Latte","1","£2.15","York","Card","Discover | Brandon Dickerson | 6011066617120717 12/26 | CVC: 507 | ","24/06/2025"
"Leah Grant","Cappuccino","1","£2.35","York","Cash","","11/07/2025"
"Elizabeth Ford","Mocha","3","£8.25","Durham","Cash","","06/07/2025"
"Larry Garcia","Flavoured Iced Latte - Hazelnut","","£2.75","York","Card","3531177249939040","11/07/2025"
"Samantha Young","Mocha","3","£8.25","York","Card","2705026978048634","12/07/2025"
"Daniel Williams","Flavoured Iced Latte - Caramel","3","£8.25","Chesterfield","Card","676379894832","27/06/2025"
"Sharon Stewart","Flavoured Iced Latte - Hazelnut","2","£5.5","York","Card","Mastercard | Richard Frazier | 2225968831771160 11/30 | CVV: 942 | ","24/06/2025"
"Christine Morales","Large Latte","2","£4.9","Chesterfield","Cash","","22/06/2025"
"Kevin Holmes","Cappuccino","1","£2.35","Chesterfield","Card","4839725089711932","02/07/2025"
"Sandra Wilson","Espresso","1","£1.95","Durham","Cash","","18/07/2025"
"Christopher Graham","Flavoured Iced Latte - Hazelnut","1","£2.75","York","Cash","","07/07/2025"
"Leah Trujillo","Cappuccino","","£4.7","Epsom","Card","4649938332459","18/07/2025"
"Natasha Roberts","Cappuccino","2","£4.7","","Cash","","16/07/2025"
"Miss Michelle Arnold","Large Latte","3","£7.35","Chesterfield","Card","Diners Club / Carte Blanche | Roberta Marshall | 30475100804978 04/26 | CVC: 141 | ","30/06/2025"
"Brady Spencer","Latte","2","£4.3","","Cash","","22/06/2025"
"Holly Jordan","Cappuccino","","£4.7","Durham","Cash","","22/06/2025"
"William Ramirez","Flavoured Iced Latte - Caramel","3","£8.25","Epsom","Cash","","06/07/2025"
"Brandon Cruz","Flavoured Iced Latte - Hazelnut","2","£5.5","Durham","Cash","","16/07/2025"
"Alexis Gonzalez","Flavoured Iced Latte - Caramel","2","£5.5","Durham","Card","676228556764","02/07/2025"
"Michael Howard","Flavoured Iced Latte - Hazelnut","3","","Chesterfield","Card","4276011685684","24/06/2025"
"Phillip Wells","Flavoured Iced Latte - Caramel","1","£2.75","Epsom","Cash","","03/07/2025"
"David Hughes","Espresso","2","£3.9","York","Card","180069600604422","16/07/2025"
"Jamie Benjamin","Flavoured Iced Latte - Hazelnut","2","£5.5","Durham","Card","3543376455081986","23/06/2025"
"Drew Reed","Flavoured Iced Latte - Hazelnut","2","£5.5","","Cash","","09/07/2025"
"Suzanne Smith","Flavoured Iced Latte - Hazelnut","3","£8.25","York","Cash","","01/07/2025"
"Allison Pham","Flavoured Iced Latte - Hazelnut","1","£2.75","Chesterfield","Card","4986516014299023","16/07/2025"
"Katherine Lucero","Flavoured Iced Latte - Caramel","3","£8.25","Durham","Card","676252390437","30/06/2025"
"Michelle Hill","Cappuccino","3","£7.05","York","Card","VISA 16 digit | Douglas Taylor | 4494553667010519 08/34 | CVC: 389 | ","20/07/2025"
"Dr. Kim Cook","Flavoured Iced Latte - Caramel","2","£5.5","Chesterfield","Card","4550261350803536","10/07/2025"
"Michael Newton","Cappuccino","2","£4.7","Durham","Card","501889437452","01/07/2025"
"Laura Diaz","Mocha","1","£2.75","York","Cash","","24/06/2025"
"Lori Wright","Large Latte","3","","York","Card","4600714695098133579","13/07/2025"
